,__arm_nr_cacheflush,__arm_nr_set_tls,_llseek,_newselect,access,bind,brk,chdir,chmod,clock_gettime,clone,close,connect,dup,dup2,epoll_create,epoll_ctl,epoll_wait,execve,exit,exit_group,fchmod,fchown32,fcntl64,fdatasync,flock,fork,fstat64,fsync,ftruncate,ftruncate64,futex,getcwd,getdents64,getegid32,geteuid32,getgid32,getgroups32,getpeername,getpgid,getpid,getppid,getpriority,getrusage,getsockname,getsockopt,gettid,gettimeofday,getuid32,inotify_add_watch,inotify_rm_watch,ioctl,listen,lseek,lstat64,madvise,mkdir,mknod,mlock,mmap2,mprotect,mremap,msync,munmap,nanosleep,open,pipe,pipe2,poll,prctl,pread64,ptrace,pwrite64,read,readlink,recvfrom,recvmsg,rename,rmdir,sched_getparam,sched_getscheduler,sched_yield,sendmsg,sendto,setpgid,setpriority,setsockopt,shutdown,sigaction,sigaltstack,sigprocmask,sigsuspend,socket,socketpair,stat64,statfs64,ugetrlimit,umask,uname,unlink,utimes,vfork,wait4,write,writev,Class
10,0,18,6,0,79,2,87,0,11,1640,18,108,4,21,0,1,9,584,0,7,0,1,14,148,10,2,0,123,6,0,0,293,0,2,0,0,0,0,0,0,137,0,70,0,4,7,42,149,140,0,0,440,0,8,25,135,10,0,0,167,210,0,0,101,8,84,2,0,3,105,97,0,31,257,0,854,0,1,0,0,0,1,0,363,0,18,5,0,1,25,212,0,4,0,73,1,0,0,1,1,0,0,0,374,68,1
11,0,32,6,0,48,1,124,0,4,2030,32,82,2,12,0,7,15,393,0,4,0,1,18,225,35,2,0,108,0,0,0,575,0,2,10,10,10,0,0,0,240,0,60,0,0,3,191,105,238,0,0,615,1,32,10,139,4,0,0,173,311,0,0,60,9,86,8,0,1,114,66,0,70,156,0,322,3,0,0,0,0,1,3,1,0,33,1,0,1,36,109,0,3,9,59,1,1,0,1,4,0,0,0,318,96,1
12,0,37,6,6,75,10,112,0,21,755,35,228,17,12,6,2,7,88,8,20,2,0,0,50,0,2,2,88,18,0,0,521,0,6,0,0,0,0,0,0,92,0,75,0,20,18,67,58,100,0,0,316,0,8,25,245,7,0,0,259,259,0,0,144,18,101,11,0,8,125,50,0,0,85,0,88,0,9,0,0,0,5,0,14,0,38,26,4,17,57,253,0,17,0,77,0,2,0,1,9,0,0,4,167,45,1
13,0,17,6,0,11,2,72,0,2,615,17,65,4,9,0,1,4,45,0,4,0,0,0,10,0,2,0,53,0,0,0,249,0,8,0,0,0,0,0,0,58,0,55,0,4,10,32,174,67,0,0,207,0,8,7,108,3,0,0,114,238,0,0,40,9,59,2,0,1,101,18,0,0,54,0,34,0,0,0,0,0,0,0,3,0,14,3,0,1,21,107,0,10,0,27,0,0,0,1,0,0,0,0,101,23,1
14,0,8,6,0,3,0,9,0,0,17,8,18,1,0,0,1,1,3,0,0,0,0,0,5,0,2,0,6,0,0,0,37,0,2,0,0,0,0,0,0,9,0,16,0,0,3,21,3,19,0,0,31,0,8,3,29,0,0,0,32,36,0,0,2,0,22,2,0,0,90,1,0,0,16,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,8,0,0,1,0,11,0,0,0,1,0,0,0,0,30,4,1
15,0,8,6,0,3,0,24,0,0,53,8,18,1,0,0,1,1,3,0,0,0,0,0,5,0,2,0,6,0,0,0,82,0,2,0,0,0,0,0,0,10,0,20,0,0,3,22,4,23,0,0,41,0,8,3,40,0,0,0,47,42,0,0,17,2,22,2,0,0,92,14,0,0,16,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,8,32,0,1,0,15,0,0,0,1,0,0,0,0,34,8,1
16,3,28,99,0,115,0,119,0,18,1850,27,226,6,27,0,1,7,149,1,14,1,7,40,415,75,6,1,242,10,0,0,3040,0,2,0,0,0,0,0,0,130,0,154,0,0,3,57,349,136,0,0,1030,0,124,32,463,6,0,0,456,669,0,1,260,60,234,2,0,1,133,217,0,145,204,0,194,0,9,0,0,0,4,0,1,1,24,5,0,9,42,527,0,6,0,157,2,1,0,1,18,0,0,1,311,224,1
17,0,23,6,0,53,3,47,0,12,1380,23,96,7,21,0,1,8,541,0,9,0,0,0,26,0,2,0,61,8,0,0,347,0,2,0,0,0,0,0,0,114,0,81,0,6,8,51,22,115,0,0,432,0,8,27,146,9,0,0,185,199,0,0,98,8,81,2,0,4,114,49,0,0,244,0,791,0,3,0,0,0,1,0,364,0,24,9,2,1,32,145,0,7,0,42,0,0,0,1,3,0,0,0,381,112,1
18,0,8,6,0,3,0,12,0,1,15,8,18,1,0,0,1,1,3,0,0,0,0,0,5,0,2,0,6,0,0,0,38,0,2,0,0,0,0,0,0,9,0,15,0,0,3,21,3,19,0,0,29,0,8,3,29,2,0,0,32,35,0,0,2,0,23,2,0,0,90,1,0,0,16,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,8,0,0,1,0,11,0,0,0,1,0,0,0,0,28,13,1
19,0,25,59,0,96,6,86,0,5,1260,24,174,12,12,0,1,6,214,1,8,1,2,0,65,0,7,1,124,2,0,0,474,0,10,0,0,0,0,0,0,182,0,70,0,12,11,45,78,203,0,0,612,0,128,32,319,14,0,0,315,537,0,1,107,17,199,2,0,3,120,37,0,0,335,0,249,0,3,0,0,0,3,0,9,1,22,17,0,9,33,200,0,12,0,71,3,1,0,1,1,0,0,1,277,59,1
20,0,30,86,0,136,3,104,0,24,615,29,209,10,18,0,3,7,165,1,17,1,5,31,321,30,8,1,238,16,0,0,586,0,2,0,0,0,0,0,0,145,0,132,0,6,6,59,276,177,0,0,779,0,130,64,341,11,0,0,360,601,0,1,157,17,238,4,0,2,135,110,0,58,234,0,48,0,10,0,0,0,4,0,5,1,28,12,2,9,47,178,0,10,0,248,2,1,0,1,13,0,0,1,313,100,1
21,2350,56,6,0,116,5,1400,0,18,17200,56,1100,12,50,0,9,41,3460,0,18,0,0,0,236,20,2,0,1030,13,14,0,2720,0,50,12,12,12,0,0,0,1850,0,137,0,10,12,306,1520,1810,0,0,2020,1,84,48,419,12,0,0,680,514,0,0,330,19,1030,10,0,4,167,352,0,17,3000,1,1690,10,7,0,0,0,2,10,5,0,64,21,0,1,74,2050,0,13,14,144,0,2,0,1,9,0,0,0,1580,1370,1
22,762,37,8,0,27,1,188,0,4,4890,37,607,2,19,0,8,19,896,0,3,0,0,0,89,5,2,0,559,1,0,0,1170,0,34,12,12,12,0,0,0,405,0,50,0,0,3,258,324,366,0,0,235,1,32,16,183,7,0,0,219,299,0,0,62,8,607,9,0,1,120,24,0,1,1400,1,53,6,1,0,0,0,2,6,1,0,39,1,0,1,40,126,0,3,12,41,0,2,0,1,3,0,0,0,389,42,1
23,2320,41,36,0,47,3,252,0,2,11700,41,764,8,13,0,12,35,2180,0,3,0,0,0,223,20,2,0,757,0,12,0,1710,0,38,12,12,12,0,0,0,884,0,48,0,6,9,286,840,865,0,0,189,1,89,27,242,15,0,0,249,339,0,0,83,8,768,13,0,3,133,11,0,16,2090,1,29,9,2,0,0,0,2,9,3,0,47,15,4,1,44,48,0,9,14,63,0,2,0,1,4,0,0,0,646,86,1
24,0,8,6,0,3,0,8,0,0,29,8,18,1,0,0,1,1,3,0,0,0,0,0,5,0,2,0,6,0,0,0,49,0,2,0,0,0,0,0,0,9,0,28,0,0,3,21,3,19,0,0,46,0,8,3,29,0,0,0,32,40,0,0,2,0,22,2,0,0,90,1,0,0,16,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,8,0,0,1,0,11,0,0,0,1,0,0,0,0,54,4,1
25,0,54,6,7,74,12,168,0,18,1280,52,249,30,12,6,8,16,182,8,21,2,0,0,128,5,2,2,136,14,0,0,964,0,10,10,10,10,0,0,0,133,0,70,0,22,26,220,114,141,0,0,353,1,32,28,277,8,0,0,293,411,0,0,138,19,115,17,0,8,142,48,0,0,196,0,81,3,6,0,0,0,4,3,14,0,59,43,8,17,75,278,0,37,9,65,0,3,0,1,8,0,0,3,209,49,1
26,0,19,6,0,41,9,62,0,10,389,19,61,14,7,0,1,4,47,0,8,0,0,0,31,0,2,0,46,8,0,0,400,0,2,0,0,0,0,0,0,52,0,42,0,18,14,41,36,58,0,0,161,0,8,13,131,4,0,0,127,199,0,0,57,8,55,2,0,6,105,22,0,0,57,0,57,0,2,0,0,0,1,0,10,0,22,22,8,1,27,191,0,14,0,52,0,0,0,1,2,0,0,0,96,18,1
27,0,67,6,0,80,5,129,2,9,2110,65,295,12,16,6,7,17,436,2,37,2,0,0,104,5,2,2,53,6,0,0,894,0,6,10,10,10,0,0,0,273,0,123,0,8,9,237,60,285,0,0,742,1,32,16,308,6,0,0,341,363,0,0,187,9,92,16,0,5,147,47,0,0,201,0,312,3,1,0,0,0,2,3,9,0,69,15,0,17,104,266,0,13,9,137,2,3,0,1,3,0,0,4,405,91,1
28,0,34,6,0,55,7,161,0,12,982,34,80,10,12,0,7,16,135,0,7,0,1,7,152,20,2,0,89,7,0,0,541,0,2,10,10,10,0,0,0,98,0,60,0,12,10,191,79,104,0,0,267,1,32,19,163,6,0,0,176,300,0,0,64,7,80,8,0,3,120,44,0,30,103,0,72,3,2,0,0,0,1,3,7,0,38,15,8,1,41,167,0,11,9,58,1,1,0,1,6,0,0,0,191,36,1
29,0,20,89,0,131,0,79,0,22,16100,19,244,6,28,0,1,14,3440,1,11,1,10,48,501,90,10,1,288,13,0,0,368,0,2,0,0,0,0,0,0,1930,0,116,0,0,3,41,382,1950,0,0,3770,0,136,55,284,6,0,0,311,467,0,1,125,19,250,2,0,1,119,116,0,174,840,0,4890,0,12,0,0,0,3,0,361,1,16,5,0,9,31,152,0,6,0,192,2,1,0,1,23,0,0,1,1480,158,1
30,4710,98,9,0,220,4,1240,0,30,90800,98,2350,34,193,0,10,203,19500,0,44,0,2,46,958,105,2,0,2180,22,303,0,8910,0,78,12,12,12,0,0,0,12300,0,507,0,21,28,578,3010,12200,0,0,3970,1,86,107,671,13,0,0,916,592,0,0,663,55,2080,11,0,2,276,350,0,614,8340,1,1810,43,22,0,0,0,8,43,5,0,107,91,0,1,142,1520,0,38,14,320,1,2,0,1,48,0,0,0,4770,429,1
31,0,17,6,0,29,6,22,0,10,147,17,37,9,0,0,1,1,18,0,6,0,0,0,15,0,2,0,35,8,0,0,200,0,2,0,0,0,0,0,0,25,0,24,0,12,10,36,18,34,0,0,70,0,8,13,66,4,0,0,86,152,0,0,47,6,37,2,0,3,103,24,0,0,46,0,6,0,2,0,0,0,2,0,7,0,17,14,8,1,23,62,0,9,0,34,0,0,0,1,2,0,0,0,48,7,1
32,0,10,6,0,7,0,120,0,0,11000,10,49,1,8,0,1,6,2640,0,2,0,0,0,8,0,2,0,21,0,0,0,360,0,2,0,0,0,0,0,0,1430,0,27,0,0,3,25,393,1440,0,0,2960,0,8,3,144,0,0,0,148,155,0,0,87,19,47,2,0,0,94,65,0,0,669,0,3280,0,0,0,0,0,0,0,361,0,7,0,0,1,12,307,0,1,0,18,0,0,0,1,0,0,0,0,1190,20,1
33,0,19,6,0,30,7,79,0,7,614,19,58,12,6,0,1,3,84,0,8,0,0,0,23,0,2,0,41,5,0,0,454,0,2,0,0,0,0,0,0,91,0,38,0,14,12,40,33,100,0,0,181,0,8,10,118,4,0,0,157,222,0,0,87,8,53,2,0,4,105,52,0,0,55,0,58,0,0,0,0,0,3,0,8,0,20,18,8,1,27,195,0,12,0,40,0,0,0,1,0,0,0,0,88,17,1
34,247,66,198,0,148,6,344,0,25,89000,64,1660,109,68,0,9,45,6130,2,24,2,5,31,563,50,6,2,1550,17,0,0,113000,0,61,12,12,12,0,0,0,4280,0,224,0,5,8,291,32100,4250,0,0,98800,1,253,51,966,9,0,0,679,1130,0,2,263,209,1550,10,0,6,175,109,0,94,4210,1,2670,6,10,0,0,0,8,6,1,2,71,103,0,17,90,299,0,110,12,235,3,3,0,1,16,0,0,2,2180,585,1
35,0,12,6,0,6,4,21,0,3,79,12,26,9,0,0,1,1,3,0,1,0,0,0,25,0,2,0,15,1,0,0,101,0,2,0,0,0,0,0,0,18,0,19,0,8,9,29,26,25,0,0,65,0,8,4,47,3,0,0,51,121,0,0,12,3,27,2,0,5,94,8,0,0,32,0,4,0,0,0,0,0,1,0,5,0,11,12,4,1,13,9,0,9,0,17,0,0,0,1,0,0,0,0,35,6,1
36,0,39,6,0,33,2,116,0,8,1280,39,85,3,16,0,7,18,248,0,8,0,0,4,127,15,2,0,77,1,0,0,1140,0,4,10,10,10,0,0,0,188,0,175,0,2,12,207,82,196,0,0,505,1,32,11,194,6,0,0,214,294,0,0,93,13,77,7,0,2,123,62,0,17,133,0,59,3,0,0,0,0,2,3,3,0,40,13,0,1,47,194,0,7,9,67,1,1,0,1,4,0,0,0,510,60,1
37,0,20,18,0,44,7,51,0,5,302,20,71,13,3,0,1,4,31,0,8,0,0,0,31,0,2,0,49,3,0,0,235,0,21,0,0,0,0,0,0,43,0,41,0,10,12,38,48,54,0,0,167,0,8,6,120,17,0,0,153,223,0,0,84,602,67,2,0,8,103,41,0,0,68,0,22,0,1,0,0,0,2,0,4,0,18,11,4,1,28,163,0,13,0,68,2,0,0,1,1,0,0,0,91,55,1
38,0,8,6,0,13,0,21,0,1,15,8,26,1,0,0,1,1,3,0,0,0,0,6,51,5,2,0,33,0,0,0,38,0,2,0,0,0,0,0,0,9,0,15,0,0,3,21,41,19,0,0,29,0,8,3,29,0,0,0,32,46,0,0,2,0,31,2,0,0,90,14,0,7,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,8,0,0,1,0,24,1,0,0,1,0,0,0,0,28,4,1
39,0,36,102,0,115,1,108,0,22,1880,34,238,6,8,0,6,9,193,2,19,2,4,16,244,30,6,2,174,15,0,0,918,0,8,0,0,0,0,0,0,160,0,67,0,2,7,78,1270,181,0,0,547,0,217,73,481,16,0,0,529,942,0,2,214,14,306,7,0,2,180,68,0,58,264,0,39,0,8,0,0,0,3,0,2,2,38,5,0,17,55,142,0,9,0,120,3,2,0,1,12,0,0,2,342,240,1
40,0,8,6,0,3,0,20,0,0,34,8,18,1,0,0,1,1,3,0,0,0,0,0,5,0,2,0,6,0,0,0,40,0,2,0,0,0,0,0,0,9,0,22,0,0,3,21,5,23,0,0,46,0,8,3,29,0,0,0,45,63,0,0,15,0,22,2,0,0,90,14,0,0,16,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,8,28,0,1,0,15,0,0,0,1,0,0,0,0,42,4,1
41,0,11,6,0,11,0,42,0,0,826,11,37,1,4,0,1,4,427,0,2,0,0,0,7,0,2,0,16,0,0,0,60,0,2,0,0,0,0,0,0,25,0,21,0,0,3,27,4,38,0,0,85,0,8,3,71,0,0,0,78,92,0,0,17,0,41,2,0,0,93,4,0,0,206,0,728,0,0,0,0,0,0,0,361,0,8,0,0,1,13,37,0,1,0,17,0,0,0,1,0,0,0,0,221,2,1
42,0,30,242,5,1100,5,169,0,5,2550,30,1040,7,14,0,7,16,270,0,3,0,2,578,4690,420,2,0,2700,0,0,0,1030,0,4,10,10,10,0,0,0,190,0,49,0,8,33,197,2410,179,0,0,1820,1,32,15,169,9,0,0,511,506,0,0,402,24,1040,10,0,1,112,1160,0,1350,446,0,212,3,1,0,0,0,2,3,3,0,31,10,0,1,33,196,0,8,9,1870,1,2,0,1,6,0,0,0,262,69,1
43,0,13,6,885,23,0,85,0,4,5450,13,60,5,9,0,2,4,55,0,2,0,0,0,10,0,2,0,29,4,0,0,137,0,2,0,0,0,0,0,0,61,0,38,0,0,6,30,10,73,0,0,240,0,10,7,90,0,0,0,132,185,0,0,60,885,59,3,0,0,97,40,0,0,266,0,51,0,4,0,0,0,1,0,1,0,10,4,0,1,15,230,0,5,0,22,0,0,0,2,4,0,0,0,88,21,1
44,0,28,6,0,63,9,60,0,14,875,28,96,17,9,0,1,6,130,0,16,0,0,0,37,0,2,0,111,10,0,0,447,0,8,0,0,0,0,0,0,102,0,52,0,18,21,53,40,122,0,0,371,0,8,25,150,9,0,0,184,325,0,0,113,12,79,2,0,6,114,54,0,0,130,0,127,0,5,0,0,0,1,0,10,0,32,22,0,1,44,200,0,26,0,74,0,0,0,1,5,0,0,0,163,40,1
45,0,11,6,0,7,0,45,0,1,70,11,43,0,3,0,1,4,23,0,2,0,0,0,6,0,2,0,20,0,0,0,64,0,2,0,0,0,0,0,0,28,0,29,0,0,3,28,5,42,0,0,106,0,8,3,78,2,0,0,94,90,0,0,33,0,47,2,0,0,94,13,0,0,26,0,8,0,0,0,0,0,0,0,1,0,8,0,0,1,13,91,0,1,0,20,0,0,0,1,0,0,0,0,64,4,1
46,0,17,6,0,11,2,73,0,2,477,17,65,4,9,0,1,4,42,0,7,0,0,0,10,0,2,0,53,0,0,0,303,0,8,0,0,0,0,0,0,58,0,56,0,4,10,32,174,67,0,0,199,0,8,7,124,3,0,0,114,206,0,0,49,9,59,2,0,1,101,18,0,0,52,0,34,0,0,0,0,0,1,0,3,0,14,3,0,1,24,113,0,10,0,27,0,0,0,1,0,0,0,0,98,23,1
47,0,14,6,0,14,0,32,0,0,2990,14,50,1,10,0,1,3,54,0,4,0,0,0,6,0,2,0,16,0,0,0,281,0,2,0,0,0,0,0,0,64,0,61,0,0,3,31,8,76,0,0,1380,0,13,3,605,0,0,0,619,142,0,0,544,13,48,2,0,0,597,21,0,0,102,0,32,0,0,0,0,0,0,0,1,0,11,0,0,1,18,97,0,1,0,24,0,0,0,1,0,0,0,0,127,18,1
48,0,9,6,0,5,0,50,0,1,136,9,35,1,4,0,2,4,25,0,0,0,0,0,9,0,2,0,13,0,0,0,123,0,2,0,0,0,0,0,0,33,0,29,0,0,3,26,5,47,0,0,100,0,8,3,75,2,0,0,90,98,0,0,30,2,40,3,0,0,93,21,0,0,25,0,12,0,0,0,0,0,1,0,1,0,7,0,0,1,9,88,0,1,0,19,0,0,0,1,0,0,0,0,56,14,1
49,0,22,6,0,65,5,64,0,14,1540,22,81,9,13,0,1,6,535,0,11,0,0,0,30,0,2,0,59,10,0,0,523,0,2,0,0,0,0,0,0,96,0,66,0,10,11,49,32,104,0,0,338,0,8,29,187,9,0,0,154,253,0,0,86,19,65,2,0,5,108,37,0,0,250,0,807,0,5,0,0,0,1,0,366,0,28,13,2,1,33,163,0,9,0,63,0,0,0,1,5,0,0,0,329,70,1
50,0,9,6,0,7,0,22,0,0,82,9,19,1,0,0,1,1,3,0,1,0,0,0,5,0,2,0,8,0,0,0,111,0,2,0,0,0,0,0,0,10,0,18,0,0,3,23,4,23,0,0,44,0,8,3,46,0,0,0,55,44,0,0,25,3,23,2,0,0,91,21,0,0,17,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,10,58,0,1,0,16,0,0,0,1,0,0,0,0,28,9,1
51,0,24,6,0,38,10,42,0,10,265,24,98,16,2,0,1,3,9,0,13,0,0,0,27,0,2,0,88,8,0,0,339,0,8,0,0,0,0,0,0,30,0,53,0,20,21,56,32,35,0,0,134,0,10,13,109,4,0,0,106,171,0,0,67,4,85,2,0,5,110,23,0,0,297,0,14,0,2,0,10,10,0,0,11,0,26,23,8,11,37,69,0,22,0,43,0,0,0,1,2,0,0,0,71,17,1
52,0,22,6,0,47,1,68,0,9,434,22,63,3,7,0,3,7,64,0,11,0,0,0,16,0,2,0,52,8,0,0,452,0,2,0,0,0,0,0,0,79,0,44,0,2,5,48,32,101,0,0,288,0,8,13,119,0,0,0,159,186,0,0,89,24,62,4,0,2,108,44,0,0,52,0,45,0,8,0,0,0,5,0,3,0,21,3,0,1,33,156,0,3,0,49,0,0,0,1,9,0,0,0,85,17,1
53,0,15,6,0,12,1,17,0,0,77,15,33,4,0,0,1,1,7,0,5,0,0,0,11,0,2,0,32,0,0,0,748,0,4,0,0,0,0,0,0,22,0,21,0,2,8,31,22,29,0,0,78,0,8,3,58,0,0,0,53,125,0,0,17,8,32,2,0,2,97,1,0,0,31,0,1,0,0,0,0,0,2,0,2,0,12,3,0,1,20,5,0,7,0,20,0,0,0,1,0,0,0,0,28,2,1
54,4910,55,6,0,104,5,354,0,16,10900,55,197,11,19,0,10,25,1820,0,17,0,1,12,316,35,2,0,244,8,15,0,1610,0,8,12,12,12,0,0,0,936,0,90,0,9,10,298,537,944,0,0,740,1,86,32,307,10,0,0,314,410,0,0,146,11,193,11,0,3,157,44,0,43,817,1,257,6,4,0,0,0,2,6,5,0,60,17,0,1,72,103,0,12,12,132,4,2,0,1,8,0,0,0,742,67,1
55,0,36,6,23,68,9,74,0,19,415,34,204,16,6,6,2,4,39,8,19,2,0,0,43,0,2,2,74,16,0,0,425,0,6,0,0,0,0,0,0,54,0,53,0,18,14,67,48,66,0,0,195,0,8,23,213,7,0,0,239,274,0,0,125,21,93,11,0,7,124,43,0,0,95,0,25,0,7,0,0,0,3,0,12,0,37,24,4,17,55,170,0,16,0,63,0,2,0,1,7,0,0,3,98,45,1
56,0,18,6,0,29,6,50,0,9,2620,18,60,11,11,0,1,3,34,0,7,0,0,0,19,0,2,0,38,7,0,0,906,0,2,0,0,0,0,0,0,54,0,53,0,12,11,38,19,53,0,0,1340,0,8,12,273,4,0,0,108,186,0,0,44,25,48,2,0,3,104,10,0,0,69,0,22,0,1,0,0,0,2,0,7,0,18,16,8,1,25,31,0,11,0,37,0,0,0,1,1,0,0,0,112,28,1
57,0,17,6,0,11,2,58,0,2,370,17,65,4,9,0,1,4,50,0,4,0,0,0,10,0,2,0,53,0,0,0,239,0,8,0,0,0,0,0,0,61,0,56,0,4,10,32,174,70,0,0,215,0,8,7,109,3,0,0,114,183,0,0,40,6,59,2,0,1,101,18,0,0,59,0,46,0,0,0,0,0,1,0,3,0,14,3,0,1,21,112,0,10,0,27,0,0,0,1,0,0,0,0,106,20,1
58,0,116,6,0,396,4,187,0,47,70000,116,199,8,43,0,1,15,477,0,94,0,0,0,26,0,2,0,165,1,0,0,19000,0,22,0,0,0,0,0,0,367,0,252,0,8,9,137,1630,374,0,0,1430,0,8,182,591,16,0,0,743,631,0,0,640,22,190,2,0,1,211,308,0,0,230,0,350,0,0,0,0,0,3,0,13,0,113,15,0,1,210,572,0,11,0,290,0,0,0,1,0,0,0,0,692,171,1
