,Class
10105,5
1608,2
3798,3
4065,3
457,1
3412,3
3352,2
7765,4
5768,3
4844,3
6729,3
9932,5
10585,5
5833,3
518,1
6377,3
9856,5
1971,2
8278,4
218,1
7008,3
2357,2
9039,4
6363,3
624,1
4345,3
3837,3
7588,4
398,1
6148,3
9975,5
2692,2
6912,3
2688,2
39,1
4584,3
4238,3
1983,2
10654,5
2127,2
3299,2
7780,4
1595,2
4139,3
5728,3
908,1
5419,3
11486,5
10519,5
5687,3
1592,2
1427,2
5196,3
9351,4
3946,3
6969,3
149,1
1512,2
5985,3
5545,3
3143,2
1491,2
4574,3
2995,2
9226,4
4874,3
4771,3
177,1
7845,4
2464,2
9928,5
8750,4
10157,5
11162,5
7116,3
6577,3
6522,3
10329,5
7868,4
19,1
7608,4
6454,3
4404,3
10475,5
10372,5
11181,5
9695,4
5491,3
5836,3
4366,3
10543,5
7740,4
4819,3
1655,2
1002,1
5640,3
10558,5
3702,3
10302,5
9309,4
9099,4
10225,5
1166,1
5082,3
6105,3
6290,3
1839,2
7073,3
9968,5
11158,5
6853,3
7653,4
4822,3
4705,3
7319,4
7188,3
6601,3
2459,2
2021,2
107,1
10137,5
5508,3
10014,5
8108,4
9815,5
8876,4
4115,3
10091,5
4600,3
3994,3
10552,5
4696,3
5380,3
10775,5
1157,1
3570,3
839,1
8742,4
10649,5
9867,5
6678,3
1494,2
850,1
10790,5
4864,3
1275,2
1501,2
6844,3
7716,4
3781,3
321,1
1139,1
7187,3
1511,2
10633,5
2380,2
2406,2
592,1
1479,2
2310,2
5719,3
2884,2
1805,2
5219,3
3870,3
7985,4
9847,5
4676,3
1022,1
5012,3
3724,3
6298,3
10696,5
4253,3
2239,2
8102,4
647,1
3080,2
5963,3
2816,2
1643,2
6802,3
4877,3
2540,2
4417,3
8235,4
2254,2
5945,3
1175,1
5273,3
10879,5
5284,3
2982,2
510,1
3526,3
4993,3
6575,3
9399,4
9054,4
8893,4
303,1
9924,5
9595,4
251,1
11502,5
9582,4
11291,5
2534,2
1740,2
8763,4
932,1
8439,4
9846,5
2909,2
10506,5
10128,5
2507,2
3689,3
1617,2
1747,2
10499,5
11109,5
10130,5
2619,2
9718,4
1347,2
1393,2
6225,3
10511,5
2492,2
5651,3
9360,4
8180,4
487,1
8753,4
4210,3
11297,5
7797,4
9901,5
7729,4
7988,4
1383,2
2012,2
6590,3
11556,5
10743,5
8146,4
4129,3
7759,4
11159,5
1851,2
8426,4
379,1
11281,5
3469,3
3013,2
5053,3
1147,1
119,1
1768,2
6255,3
1413,2
10563,5
8921,4
2751,2
8955,4
2954,2
1433,2
9269,4
7814,4
7782,4
6504,3
9732,4
10639,5
2879,2
10177,5
7090,3
7258,4
4870,3
3328,2
9797,4
3146,2
3955,3
5221,3
4656,3
5912,3
5376,3
5817,3
8045,4
33,1
3562,3
5071,3
1406,2
1399,2
3777,3
5095,3
10397,5
10005,5
9186,4
5493,3
4742,3
7889,4
11279,5
2392,2
10103,5
10417,5
5603,3
6178,3
9369,4
8091,4
4403,3
7786,4
5721,3
7647,4
10569,5
5465,3
8664,4
3492,3
4955,3
8704,4
5848,3
9972,5
6553,3
8331,4
856,1
8423,4
10000,5
3668,3
3573,3
11071,5
7320,4
4464,3
10043,5
2754,2
4792,3
6627,3
8639,4
4303,3
4191,3
3790,3
6200,3
11395,5
1713,2
11160,5
9790,4
8982,4
10894,5
3334,2
9264,4
10261,5
6785,3
9403,4
11511,5
2328,2
11196,5
3544,3
10582,5
330,1
2389,2
5957,3
5936,3
1053,1
2236,2
4871,3
7819,4
1896,2
2495,2
4483,3
1905,2
8289,4
7589,4
11467,5
5173,3
1457,2
10132,5
92,1
41,1
7322,4
1891,2
9781,4
7021,3
5176,3
5034,3
3685,3
5948,3
5611,3
2075,2
7466,4
4618,3
6661,3
6306,3
1010,1
1576,2
2057,2
10691,5
4333,3
6703,3
9364,4
3305,2
8385,4
135,1
6618,3
11451,5
10392,5
318,1
2157,2
6234,3
5623,3
6658,3
10553,5
3447,3
7440,4
4634,3
4193,3
1430,2
2124,2
2876,2
5844,3
11389,5
10670,5
1039,1
8471,4
2465,2
1720,2
6632,3
5840,3
3023,2
4772,3
10707,5
2183,2
6962,3
4148,3
11360,5
4682,3
8153,4
5639,3
70,1
8880,4
5038,3
7030,3
8478,4
2474,2
360,1
4245,3
9432,4
5883,3
9102,4
5461,3
3234,2
7556,4
6931,3
7881,4
914,1
3684,3
10663,5
7248,3
3111,2
744,1
9165,4
3418,3
1952,2
7389,4
4779,3
7628,4
9115,4
4003,3
2620,2
9593,4
8280,4
2412,2
10065,5
8269,4
9038,4
4111,3
9023,4
7375,4
7460,4
1732,2
248,1
7562,4
434,1
1121,1
7303,4
10498,5
1688,2
6478,3
10739,5
1670,2
1935,2
3431,3
10239,5
4102,3
3846,3
10166,5
1530,2
5268,3
6436,3
6624,3
2422,2
5011,3
543,1
8993,4
10964,5
4301,3
5635,3
4619,3
9214,4
2348,2
10998,5
8696,4
9902,5
2452,2
9973,5
862,1
3024,2
1923,2
1904,2
10609,5
2899,2
11531,5
3265,2
1783,2
4271,3
10249,5
10925,5
11146,5
1142,1
4868,3
10825,5
9016,4
5885,3
7768,4
1744,2
6339,3
4730,3
2732,2
6681,3
483,1
10489,5
11563,5
2337,2
9866,5
6061,3
1208,1
4671,3
3746,3
9027,4
8672,4
5674,3
8698,4
2943,2
5282,3
9036,4
3952,3
3488,3
668,1
6805,3
10375,5
7640,4
4791,3
2986,2
1068,1
747,1
3016,2
11557,5
2034,2
3031,2
10902,5
5580,3
5996,3
7689,4
6008,3
10020,5
7364,4
3194,2
11490,5
6752,3
2351,2
2301,2
6372,3
10496,5
4317,3
2473,2
11145,5
708,1
5099,3
3206,2
1355,2
9242,4
1272,2
2069,2
8034,4
4978,3
5924,3
7066,3
35,1
1602,2
50,1
4525,3
4768,3
2771,2
10045,5
1408,2
4773,3
4209,3
2760,2
428,1
11387,5
11268,5
1692,2
5659,3
95,1
1217,1
5667,3
8839,4
8332,4
6292,3
5009,3
6939,3
3100,2
9808,5
2791,2
10983,5
9063,4
10104,5
4463,3
4770,3
408,1
3710,3
8367,4
11596,5
8579,4
704,1
6286,3
8501,4
2691,2
2087,2
8926,4
608,1
900,1
7366,4
10571,5
5015,3
9306,4
3527,3
3678,3
2214,2
1941,2
7787,4
4667,3
10508,5
758,1
2564,2
9084,4
1078,1
9843,5
10629,5
11505,5
4215,3
4793,3
8470,4
399,1
10646,5
6385,3
9526,4
9560,4
9169,4
4995,3
7388,4
8775,4
4960,3
8298,4
2210,2
3482,3
2360,2
11334,5
5125,3
10202,5
7609,4
7720,4
4597,3
4438,3
970,1
6345,3
11500,5
9709,4
9784,4
9919,5
3688,3
63,1
7976,4
4250,3
8642,4
5617,3
9876,5
11525,5
7877,4
2231,2
4436,3
1579,2
3524,3
10994,5
8563,4
3467,3
427,1
3520,3
1623,2
5747,3
8594,4
7928,4
4851,3
7809,4
2627,2
9450,4
2576,2
7799,4
6691,3
5151,3
367,1
8349,4
11115,5
5524,3
7298,4
8126,4
7185,3
7757,4
9239,4
902,1
6597,3
8085,4
2216,2
7038,3
10744,5
9744,4
3677,3
8981,4
3465,3
5267,3
4630,3
7850,4
1434,2
9258,4
10412,5
8170,4
554,1
3105,2
4156,3
6858,3
9950,5
5820,3
3094,2
9731,4
2318,2
3207,2
7895,4
573,1
11506,5
740,1
8578,4
0,1
7968,4
1418,2
4329,3
4176,3
9598,4
11157,5
10170,5
6388,3
8449,4
7696,4
5899,3
3463,3
1402,2
9638,4
3329,2
9513,4
4060,3
10017,5
1396,2
2487,2
1934,2
6536,3
9147,4
1523,2
3272,2
10029,5
216,1
11414,5
6037,3
5227,3
866,1
4918,3
9061,4
3694,3
9756,4
8276,4
6050,3
1697,2
6180,3
11324,5
7630,4
3219,2
8847,4
795,1
8649,4
4685,3
6054,3
4393,3
10993,5
10090,5
6222,3
6578,3
683,1
5547,3
9944,5
5090,3
577,1
10781,5
4094,3
10206,5
6571,3
761,1
5250,3
9792,4
2201,2
7033,3
9060,4
5235,3
6152,3
2184,2
9688,4
5950,3
3851,3
7091,3
6836,3
3509,3
10444,5
8489,4
7317,4
2614,2
9611,4
7654,4
11161,5
1041,1
4194,3
11193,5
7607,4
173,1
169,1
10448,5
3437,3
9600,4
960,1
3372,3
4551,3
883,1
1701,2
5965,3
5144,3
6613,3
7655,4
1320,2
4081,3
6393,3
4890,3
9095,4
6114,3
7917,4
3949,3
3919,3
3133,2
4228,3
5163,3
2820,2
9318,4
1950,2
10118,5
586,1
7297,4
2420,2
8767,4
5480,3
8117,4
8630,4
3528,3
4256,3
9933,5
2678,2
2218,2
6086,3
2846,2
2759,2
2055,2
10229,5
2260,2
9356,4
9849,5
8929,4
1277,2
103,1
9715,4
11070,5
1282,2
9134,4
9746,4
8137,4
1369,2
4711,3
6842,3
2611,2
5289,3
7271,4
291,1
9803,5
2531,2
9985,5
5584,3
7087,3
3585,3
2085,2
10557,5
5216,3
1864,2
7538,4
5362,3
10403,5
5871,3
10085,5
3834,3
10122,5
5363,3
2522,2
6128,3
9761,4
6417,3
11294,5
6022,3
2826,2
2901,2
621,1
2046,2
8749,4
9549,4
5174,3
10024,5
9736,4
265,1
10436,5
1683,2
5577,3
6639,3
4429,3
2980,2
3441,3
5935,3
11087,5
6572,3
11185,5
10509,5
259,1
2270,2
8728,4
7216,3
3204,2
756,1
1793,2
7113,3
8314,4
6756,3
4974,3
2625,2
2019,2
694,1
9859,5
4184,3
2715,2
3101,2
4030,3
1634,2
3282,2
1496,2
9317,4
8342,4
1421,2
10684,5
9791,4
3542,3
8047,4
4048,3
3912,3
3652,3
6742,3
10848,5
4605,3
1237,1
2615,2
8614,4
2405,2
5157,3
8518,4
3285,2
10812,5
4536,3
9564,4
9601,4
1626,2
8243,4
3274,2
7213,3
5361,3
6458,3
1061,1
5544,3
4132,3
1254,2
952,1
11559,5
1883,2
3116,2
1118,1
7344,4
9177,4
8128,4
7947,4
10767,5
7669,4
2442,2
10220,5
9542,4
2586,2
10171,5
2109,2
11509,5
9133,4
10662,5
1056,1
3921,3
2858,2
3006,2
2189,2
7642,4
2922,2
8,1
10814,5
3886,3
4549,3
96,1
6517,3
426,1
1662,2
8347,4
3819,3
3295,2
1954,2
1807,2
8790,4
5278,3
979,1
1042,1
8983,4
7699,4
6192,3
2709,2
2119,2
4598,3
3817,3
2483,2
582,1
11255,5
5323,3
9015,4
8382,4
3,1
4279,3
410,1
6856,3
9751,4
6357,3
4714,3
8885,4
3660,3
263,1
7795,4
439,1
2319,2
3979,3
6576,3
6080,3
1107,1
5270,3
8972,4
10328,5
88,1
7625,4
4414,3
2684,2
6399,3
9674,4
274,1
1281,2
10961,5
3003,2
11437,5
2527,2
10117,5
8621,4
2009,2
3458,3
11289,5
415,1
3784,3
10305,5
10984,5
10500,5
3958,3
10719,5
710,1
7620,4
407,1
7998,4
9558,4
6929,3
8229,4
6660,3
2701,2
10688,5
4640,3
5013,3
4896,3
8886,4
3780,3
6672,3
4205,3
5228,3
6686,3
7315,4
9257,4
1110,1
9537,4
7749,4
9990,5
6733,3
11544,5
8715,4
5697,3
2777,2
5932,3
6147,3
4830,3
7459,4
633,1
6768,3
8062,4
3068,2
5153,3
5766,3
131,1
455,1
9141,4
2655,2
10529,5
774,1
4954,3
311,1
5629,3
4489,3
3948,3
469,1
8396,4
1350,2
1562,2
4099,3
9978,5
247,1
993,1
736,1
7558,4
5479,3
3963,3
563,1
7153,3
3859,3
8328,4
4807,3
7217,3
9583,4
5165,3
9280,4
6662,3
10139,5
79,1
8204,4
796,1
8824,4
2245,2
6392,3
10385,5
4224,3
6249,3
7829,4
4889,3
7288,4
10138,5
8019,4
333,1
2516,2
6119,3
1084,1
450,1
11097,5
10083,5
10494,5
293,1
1250,1
1145,1
7054,3
3290,2
3547,3
5405,3
6839,3
3881,3
11452,5
5981,3
6666,3
852,1
8538,4
7542,4
1669,2
11042,5
3264,2
10841,5
9159,4
188,1
1123,1
10576,5
11230,5
9682,4
11590,5
7681,4
5882,3
3707,3
11237,5
10653,5
500,1
290,1
6914,3
1845,2
11308,5
3110,2
10501,5
8252,4
3026,2
1953,2
9171,4
10911,5
8256,4
7738,4
2836,2
4721,3
1791,2
777,1
6964,3
299,1
5549,3
1194,1
7660,4
5118,3
8846,4
7278,4
971,1
8928,4
11001,5
1113,1
7942,4
2913,2
8490,4
2588,2
4093,3
5364,3
1082,1
2762,2
7046,3
10802,5
10724,5
2388,2
4449,3
11251,5
10354,5
9215,4
3703,3
9346,4
8651,4
1844,2
5998,3
1650,2
4376,3
8814,4
1149,1
6161,3
895,1
5775,3
8857,4
765,1
1718,2
9277,4
4679,3
3125,2
6906,3
4740,3
4767,3
10185,5
3422,3
3449,3
6455,3
565,1
6277,3
1984,2
10534,5
3737,3
2140,2
1011,1
5982,3
5523,3
9491,4
3543,3
1671,2
2453,2
2818,2
2088,2
6492,3
1786,2
11174,5
4043,3
10033,5
6312,3
4969,3
4587,3
11128,5
4373,3
1345,2
1444,2
8440,4
9825,5
5200,3
7444,4
11355,5
5799,3
7798,4
1593,2
7037,3
7539,4
5502,3
80,1
5338,3
7580,4
921,1
335,1
11116,5
5763,3
1570,2
3131,2
1572,2
5411,3
7579,4
9495,4
3692,3
3595,3
1509,2
1730,2
3344,2
9276,4
6203,3
10159,5
2168,2
3858,3
472,1
819,1
8054,4
9240,4
6343,3
4055,3
9629,4
10866,5
4607,3
9137,4
7405,4
1183,1
31,1
6021,3
4313,3
6067,3
2996,2
1566,2
3284,2
8387,4
73,1
3263,2
2252,2
4080,3
3656,3
6797,3
6189,3
2753,2
8521,4
3297,2
1111,1
3434,3
2447,2
2595,2
10194,5
11455,5
373,1
4098,3
9947,5
5942,3
11277,5
9705,4
3314,2
10770,5
2232,2
8840,4
1193,1
7903,4
3210,2
1201,1
9210,4
9509,4
10366,5
4981,3
5746,3
4901,3
1803,2
7222,3
4502,3
8751,4
1584,2
3011,2
5589,3
9905,5
7590,4
5731,3
6072,3
7803,4
315,1
9955,5
4075,3
2150,2
7844,4
6118,3
9069,4
9020,4
7678,4
1472,2
11523,5
5027,3
3909,3
2714,2
5304,3
7739,4
4879,3
5676,3
1351,2
1071,1
9324,4
7076,3
7615,4
7220,3
6723,3
9643,4
8417,4
1594,2
4344,3
409,1
10732,5
3000,2
7853,4
576,1
5740,3
6720,3
4040,3
8510,4
10175,5
10190,5
713,1
6649,3
937,1
3889,3
1087,1
4900,3
6106,3
8645,4
4829,3
7861,4
1454,2
9112,4
8305,4
881,1
5632,3
1710,2
2582,2
2227,2
4265,3
4401,3
2238,2
3857,3
2102,2
4706,3
4738,3
9851,5
4708,3
7313,4
6206,3
532,1
7685,4
2517,2
3429,3
6676,3
2651,2
5492,3
8377,4
6227,3
3077,2
3244,2
11214,5
5206,3
1180,1
9066,4
10634,5
4580,3
11454,5
958,1
3721,3
6537,3
733,1
4453,3
1188,1
11342,5
3495,3
2288,2
3034,2
4629,3
5317,3
9121,4
4053,3
4089,3
8943,4
10246,5
3753,3
9653,4
4269,3
4365,3
10974,5
3411,3
1691,2
542,1
1210,1
3742,3
10861,5
123,1
8165,4
8622,4
1578,2
5400,3
2629,2
5516,3
10399,5
1795,2
7336,4
5357,3
9037,4
8355,4
10970,5
8522,4
8399,4
9396,4
6162,3
4288,3
10565,5
1614,2
6421,3
8284,4
11489,5
5044,3
5379,3
8688,4
2973,2
9237,4
4216,3
8209,4
4046,3
2613,2
10643,5
295,1
8254,4
6158,3
3208,2
7632,4
11404,5
9413,4
1785,2
8925,4
286,1
210,1
4672,3
1758,2
3852,3
1284,2
2439,2
5111,3
6167,3
9806,5
2802,2
5609,3
7478,4
4731,3
6423,3
6280,3
4680,3
8532,4
549,1
10142,5
2154,2
8414,4
676,1
7360,4
5638,3
10088,5
5595,3
5100,3
5265,3
10783,5
2855,2
4100,3
9144,4
3651,3
7042,3
4674,3
3043,2
10505,5
5727,3
5566,3
10953,5
11113,5
6753,3
3853,3
3316,2
1432,2
3838,3
7145,3
4024,3
4123,3
9040,4
2919,2
8872,4
4035,3
9469,4
9104,4
6754,3
10951,5
7439,4
7623,4
1261,2
7454,4
5993,3
11211,5
1303,2
3487,3
9125,4
5259,3
2638,2
6307,3
5822,3
5940,3
2036,2
2145,2
10722,5
6916,3
2585,2
7702,4
11552,5
9132,4
1722,2
6480,3
7234,3
4684,3
4843,3
6004,3
7293,4
3928,3
2955,2
4407,3
8852,4
4568,3
467,1
868,1
3378,3
5786,3
7926,4
8215,4
9780,4
106,1
7376,4
9726,4
590,1
4031,3
10254,5
8142,4
1965,2
4921,3
411,1
9460,4
9758,4
1459,2
799,1
9818,5
11244,5
7822,4
10469,5
4010,3
10335,5
7645,4
5159,3
11245,5
8844,4
6845,3
1825,2
4722,3
10915,5
5349,3
6956,3
4339,3
11426,5
10080,5
7871,4
5030,3
1862,2
4450,3
8806,4
5504,3
7289,4
5847,3
9029,4
85,1
8807,4
6923,3
4766,3
29,1
4643,3
4162,3
2847,2
8484,4
2864,2
465,1
9073,4
4342,3
1597,2
568,1
3519,3
9228,4
5061,3
11459,5
1245,1
217,1
5186,3
1458,2
7438,4
10271,5
1835,2
4320,3
316,1
108,1
10409,5
2221,2
6505,3
4381,3
2457,2
1766,2
8978,4
8730,4
6735,3
3448,3
5880,3
9290,4
11347,5
8059,4
2519,2
2325,2
2340,2
1090,1
8304,4
4128,3
3184,2
7975,4
8777,4
3455,3
3529,3
3065,2
2372,2
7745,4
10146,5
5434,3
7252,3
10776,5
8013,4
973,1
4447,3
10539,5
6435,3
8850,4
7077,3
4412,3
5532,3
1374,2
2664,2
6191,3
7333,4
10,1
6443,3
6380,3
9706,4
9387,4
5641,3
4604,3
718,1
7180,3
10327,5
3578,3
735,1
7665,4
4454,3
8724,4
5613,3
4448,3
909,1
4467,3
496,1
11051,5
6746,3
6440,3
1206,1
4113,3
11081,5
9189,4
1195,1
6216,3
8858,4
5787,3
2680,2
10081,5
6403,3
8127,4
288,1
10682,5
10208,5
7463,4
7781,4
388,1
836,1
6921,3
5272,3
10036,5
2142,2
11469,5
5371,3
7680,4
1112,1
2128,2
9717,4
9543,4
2960,2
3941,3
11079,5
267,1
8116,4
9045,4
8147,4
11415,5
6883,3
4687,3
4614,3
3353,3
10178,5
3971,3
9185,4
9152,4
416,1
6211,3
1962,2
620,1
1703,2
5890,3
6424,3
6438,3
2407,2
5872,3
6778,3
7396,4
1190,1
8845,4
10307,5
5931,3
5064,3
10602,5
1506,2
8046,4
7044,3
4096,3
8486,4
5129,3
11313,5
794,1
730,1
6692,3
4639,3
9585,4
9577,4
5537,3
11229,5
9164,4
8699,4
4201,3
11318,5
5210,3
1199,1
6693,3
7637,4
7565,4
2417,2
1889,2
7152,3
11236,5
32,1
5358,3
9755,4
7284,4
6092,3
9939,5
7318,4
7017,3
7065,3
10703,5
11257,5
8134,4
8573,4
9478,4
4392,3
1486,2
605,1
7238,3
11479,5
1533,2
4622,3
2628,2
5771,3
6611,3
11448,5
1330,2
3002,2
957,1
9606,4
9635,4
7477,4
11398,5
1660,2
1026,1
2342,2
1247,1
655,1
623,1
6957,3
6605,3
2199,2
9030,4
8072,4
10087,5
8878,4
2455,2
2344,2
6466,3
6096,3
10572,5
1746,2
4707,3
8833,4
5302,3
3088,2
76,1
5736,3
8214,4
10270,5
4702,3
1775,2
9430,4
93,1
8024,4
10792,5
8416,4
714,1
1076,1
2974,2
10292,5
2015,2
1885,2
5130,3
5440,3
9292,4
1488,2
4755,3
3038,2
7332,4
7060,3
11118,5
10447,5
10325,5
1437,2
1233,1
185,1
3984,3
7518,4
10702,5
1297,2
2984,2
4189,3
6346,3
11036,5
3082,2
5718,3
6526,3
381,1
10918,5
1155,1
10745,5
3582,3
1728,2
5438,3
1253,2
4477,3
3708,3
7273,4
5513,3
7735,4
8270,4
4608,3
2191,2
3254,2
11029,5
4602,3
4923,3
5958,3
4860,3
10517,5
530,1
6743,3
10710,5
11348,5
11507,5
4029,3
5550,3
8658,4
5035,3
10542,5
144,1
9162,4
7425,4
3126,2
6076,3
10782,5
10098,5
9881,5
8768,4
